City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,15.31,58,75,2.57,CA,1684981280
1,tura,25.5198,90.2201,26.64,62,3,2.13,IN,1684981762
2,port lincoln,-34.7333,135.8667,14.34,73,54,9.02,AU,1684981728
3,thompson,55.7435,-97.8558,19.09,27,75,2.06,CA,1684981744
4,ushuaia,-54.8,-68.3,5.81,56,40,4.63,AR,1684981711
5,port-aux-francais,-49.35,70.2167,5.84,99,100,8.21,TF,1684981737
6,port mathurin,-19.6833,63.4167,24.96,71,71,5.03,MU,1684981747
7,albany,42.6001,-73.9662,10.87,82,81,3.06,US,1684981738
8,grytviken,-54.2811,-36.5092,1.14,57,75,1.13,GS,1684981738
9,puerto natales,-51.7236,-72.4875,-0.02,85,75,2.41,CL,1684981745
10,lihue,21.9789,-159.3672,27.58,70,40,5.66,US,1684981754
11,cabo san lucas,22.8909,-109.9124,29.61,39,75,6.69,MX,1684981904
12,namibe,-15.1961,12.1522,19.51,82,2,5.13,AO,1684981904
13,al ghayzah,16.2079,52.176,29.02,69,8,2.78,YE,1684981904
14,sitka,57.0531,-135.33,10.94,87,100,4.12,US,1684981751
15,bethel,41.3712,-73.414,13.6,84,100,2.06,US,1684981744
16,papatowai,-46.5619,169.4708,15.33,65,96,3.42,NZ,1684981737
17,nova sintra,14.8667,-24.7167,20.44,81,99,7.02,CV,1684981734
18,kavieng,-2.5744,150.7967,27.03,83,100,5.89,PG,1684981905
19,constantia,44.1833,28.65,14.38,81,54,1.72,RO,1684981905
20,bredasdorp,-34.5322,20.0403,12.94,62,100,3.5,ZA,1684981739
21,hillvue,-31.1244,150.915,18.95,24,64,2.06,AU,1684981905
22,port shepstone,-30.7414,30.455,17.9,51,30,3.95,ZA,1684981905
23,mareeba,-17.0,145.4333,24.69,74,86,3.75,AU,1684981906
24,bezhetsk,57.7851,36.6965,13.02,94,100,1.65,RU,1684981906
25,edinburgh of the seven seas,-37.0676,-12.3116,15.22,68,96,13.17,SH,1684981757
26,abepura,-2.6333,140.5833,30.45,62,20,1.03,ID,1684981906
27,whitehorse,60.7161,-135.0538,18.9,36,75,7.2,CA,1684981673
28,al hufuf,25.3646,49.5653,29.19,20,0,2.06,SA,1684981906
29,fort st. john,56.2499,-120.8529,15.94,63,75,2.06,CA,1684981906
30,kirensk,57.7853,108.1119,5.07,87,100,1.72,RU,1684981906
31,island harbour,50.724,-1.2758,12.77,87,1,3.37,GB,1684981907
32,port elizabeth,-33.918,25.5701,16.84,82,0,5.14,ZA,1684981907
33,noumea,-22.2763,166.4572,22.99,58,90,4.87,NC,1684981907
34,anadyr,64.75,177.4833,5.28,70,20,5.0,RU,1684981907
35,okhotsk,59.3833,143.3,4.61,75,99,3.66,RU,1684981907
36,longyearbyen,78.2186,15.6401,1.91,87,100,6.17,SJ,1684981626
37,tazovsky,67.4667,78.7,2.56,84,11,2.43,RU,1684981745
38,east london,-33.0153,27.9116,21.4,31,99,4.0,ZA,1684981907
39,ola,59.5833,151.2833,2.83,81,100,3.06,RU,1684981741
40,new norfolk,-42.7826,147.0587,14.4,63,64,3.13,AU,1684981907
41,eket,4.6412,7.9209,26.15,89,100,2.74,NG,1684981908
42,talnakh,69.4865,88.3972,-0.44,88,100,1.95,RU,1684981743
43,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,41,40,8.0,RU,1684981908
44,cacoal,-11.4386,-61.4472,23.59,81,98,1.29,BR,1684981708
45,invercargill,-46.4,168.35,14.99,68,90,3.52,NZ,1684981908
46,palembang,-2.9167,104.7458,30.05,74,20,2.57,ID,1684981908
47,dhuusamarreeb,5.535,46.3861,25.14,77,100,4.9,SO,1684981908
48,tindouf,27.6711,-8.1474,16.25,63,0,9.77,DZ,1684981908
49,sinabang,2.4803,96.3801,28.28,77,63,1.74,ID,1684981908
50,bangassou,4.7413,22.8184,20.6,88,16,1.05,CF,1684981909
51,carnarvon,-24.8667,113.6333,22.83,52,100,8.69,AU,1684981909
52,stanley,54.868,-1.6985,9.88,90,0,1.03,GB,1684981909
53,antonio enes,-16.2325,39.9086,22.09,77,2,2.64,MZ,1684981909
54,makushino,55.2103,67.2442,20.49,40,90,4.73,RU,1684981909
55,puerto ayora,-0.7393,-90.3518,25.86,91,4,0.89,EC,1684981735
56,enewetak,11.3474,162.3373,27.75,79,100,6.85,MH,1684981909
57,adamstown,-25.066,-130.1015,23.66,71,37,2.95,PN,1684981738
58,badger,64.8,-147.5333,20.93,37,100,3.6,US,1684981909
59,qarauyl,48.9451,79.255,15.96,46,82,5.93,KZ,1684981910
60,undurkhaan,47.3194,110.6556,13.6,40,40,5.78,MN,1684981910
61,buka,40.8108,69.1986,20.04,31,2,1.97,UZ,1684981910
62,kodiak,57.79,-152.4072,7.73,71,100,5.14,US,1684981743
63,hamilton,39.1834,-84.5333,21.69,54,0,5.66,US,1684981704
64,quepos,9.4236,-84.1652,26.38,82,90,2.05,CR,1684981910
65,broken hill,-31.95,141.4333,20.23,21,99,9.87,AU,1684981910
66,berdigestyakh,62.0989,126.6992,11.73,31,47,2.56,RU,1684981910
67,sao tome,0.3365,6.7273,26.59,85,100,4.15,ST,1684981910
68,magistral'nyy,56.1725,107.4458,5.13,83,100,2.91,RU,1684981911
69,shitanjing,39.2342,106.3439,16.12,28,35,7.25,CN,1684981911
70,fauske,67.2588,15.3918,7.02,93,100,3.25,NO,1684981911
71,crane,31.3974,-102.3501,24.98,64,65,7.65,US,1684981911
72,baykal'sk,51.5058,104.1469,3.54,71,100,1.18,RU,1684981911
73,wailua homesteads,22.0669,-159.378,27.24,71,40,5.66,US,1684981751
74,aripuana,-9.1667,-60.6333,25.12,79,100,0.42,BR,1684981911
75,la sarre,48.8002,-79.1996,0.9,55,0,3.25,CA,1684981911
76,mercedes,-34.6515,-59.4307,18.77,99,100,3.2,AR,1684981912
77,waitangi,-43.9535,-176.5597,11.57,72,44,2.24,NZ,1684981753
78,bilibino,68.0546,166.4372,10.5,43,16,1.4,RU,1684981739
79,iqaluit,63.7506,-68.5145,-1.15,86,75,5.14,CA,1684981755
80,jieshi,22.8134,115.8257,25.98,84,100,5.44,CN,1684981912
81,sotouboua,8.5667,0.9833,22.4,90,100,0.75,TG,1684981827
82,avarua,-21.2078,-159.775,27.03,74,46,5.66,CK,1684981747
